Age Group,SCD_Underlying,SCD_Multi
<5 years,6,7
15-19 years,2,2
20-24 years,6,11
25-39 years,35,58
40-59 years,44,77
5-14 years,4,4
60+ years,19,35
40-59 years,1,1
60+ years,0,2
15-19 years,1,2
20-24 years,1,1
25-39 years,6,12
40-59 years,8,17
60+ years,2,3
<5 years,2,3
15-19 years,2,3
20-24 years,1,3
25-39 years,33,59
40-59 years,35,61
5-14 years,1,3
60+ years,15,36
25-39 years,0,1
60+ years,1,4
<5 years,0,1
15-19 years,1,1
20-24 years,3,3
25-39 years,5,9
40-59 years,13,18
5-14 years,1,2
60+ years,1,6
20-24 years,3,4
25-39 years,24,45
40-59 years,46,82
5-14 years,3,5
60+ years,14,27
25-39 years,1,1
60+ years,2,4
15-19 years,1,1
20-24 years,0,1
25-39 years,9,13
40-59 years,7,13
5-14 years,0,1
60+ years,2,8
<5 years,3,4
15-19 years,3,3
20-24 years,7,9
25-39 years,42,65
40-59 years,42,72
5-14 years,2,3
60+ years,15,43
40-59 years,1,1
60+ years,3,7
<5 years,1,1
20-24 years,1,1
25-39 years,12,17
40-59 years,14,20
60+ years,3,7
<5 years,1,1
15-19 years,2,2
20-24 years,8,13
25-39 years,44,68
40-59 years,41,78
5-14 years,1,3
60+ years,21,46
25-39 years,1,1
5-14 years,1,1
60+ years,1,3
15-19 years,1,1
20-24 years,2,2
25-39 years,10,12
40-59 years,12,16
5-14 years,1,1
60+ years,2,7
<5 years,3,4
15-19 years,3,3
20-24 years,5,8
25-39 years,36,69
40-59 years,49,91
5-14 years,1,3
60+ years,24,50
40-59 years,0,1
5-14 years,0,1
60+ years,1,4
20-24 years,3,3
25-39 years,4,7
40-59 years,7,14
5-14 years,1,1
60+ years,2,4
<5 years,0,1
15-19 years,3,3
20-24 years,4,9
25-39 years,37,63
40-59 years,45,89
5-14 years,3,4
60+ years,16,52
25-39 years,1,1
40-59 years,0,1
60+ years,2,5
15-19 years,0,1
20-24 years,2,3
25-39 years,4,10
40-59 years,8,16
60+ years,5,10
<5 years,0,1
15-19 years,2,4
20-24 years,4,7
25-39 years,24,42
40-59 years,39,83
5-14 years,2,2
60+ years,16,38
40-59 years,1,2
60+ years,0,5
<5 years,1,1
15-19 years,0,1
20-24 years,2,3
25-39 years,10,19
40-59 years,10,20
60+ years,2,9
20-24 years,1,3
25-39 years,6,11
40-59 years,17,30
5-14 years,1,1
60+ years,8,11
25-39 years,1,1
60+ years,0,2
20-24 years,0,1
25-39 years,5,7
40-59 years,3,7
60+ years,1,3
